"Id","StationID","TurbinID","PeriodType","PeriodValue","URT","Consumption"
1,1,"01",0,5,"2202.396397142201","5979.677"
2,1,"03",0,5,"2159.8888930198946","5702.678"
3,1,"04",0,5,"2100.6229089353014","5430.87"
4,1,"05",0,5,"2542.0557685079502","6784.485"
5,1,"06",0,5,"2323.494215430945","3521.255"
6,2,"01",0,5,"971.8689284836298","2031.322"
7,2,"03",0,5,"969.2841957110451","2314.001"
8,3,"07",0,5,"925.0256500638569","846"
9,3,"12",0,5,"1124.39624299906","1825.854"
10,3,"14",0,5,"2228.316004738036","7302.63"
11,4,"03",0,5,"1820.4753605168198","1093.854"
12,4,"05",0,5,"1789.0254861376652","1058.664"
13,4,"09",0,5,"1331.1742921023472","1985.81"
14,4,"10",0,5,"936.4537052087544","2010.935"
15,7,"01",0,5,"1006.5974923877094","1399.39"
16,7,"03",0,5,"1124.6305368716696","5183.394"
17,8,"01",0,4,"1092.0750481692169","1665.985"
18,8,"03",0,4,"1354.1386129324544","3308.494"
19,8,"04",0,4,"2269.115246263602","7186.97"
20,9,"01",0,5,"2546.6407617650466","5309"
21,9,"03",0,5,"2349.2329766372","4725"
22,9,"06",0,5,"2051.355907492994","8426"
23,9,"07",0,4,"2057.8443813243384","8414"
24,14,"02",0,5,"1001.8569957045823","130.215"
25,14,"04",0,5,"930.3031218100823","384.276"
26,17,"08",0,8,"1370.1256943505807","2288"
27,17,"09",0,7,"1353.460127532283","2689"
28,19,"05",0,4,"1737.3124780004607","911"
29,19,"06",0,4,"1029.7636727216432","2687"
30,19,"07",0,4,"1150.4143120406495","2824"
31,20,"01",0,5,"1219.8560822377299","5220"
32,20,"04",0,5,"949.5115491119616","4605"
33,20,"06",0,5,"1100.3941185419428","5212"
34,21,"03",0,5,"2055.6616717130387","1226"
35,22,"01",0,5,"1030.210953139081","63.75"
36,22,"03",0,4,"1645.186011625251","1903.876"
37,22,"04",0,5,"1534.1653832139473","1221.787"
38,22,"05",0,5,"1994.4076405650867","1594.047"
39,22,"07",0,5,"2003.3610988771777","4930.938"
40,22,"08",0,5,"1929.2822102314358","4052.821"
41,24,"01",0,5,"2263.1604880581167","7286.968"
42,24,"02",0,5,"2276.7539151310407","7289.565"
43,24,"04",0,5,"2223.4999817979624","7199.02"
44,24,"05",0,5,"2293.2756846789","3289.497"
45,24,"06",0,5,"2247.402555535435","7113.75"
46,24,"08",0,5,"2340.6171764274236","7870.61"
47,24,"09",0,5,"2086.869827517518","5698.049"
48,24,"10",0,5,"2007.322309010129","5927.931"
49,25,"01",0,4,"1996.274087186856","11856.404"
50,25,"02",0,4,"1947.9802650073648","13340.046"
51,25,"05",0,4,"1867.7497018240665","11877.921"
52,25,"06",0,4,"1919.3314242543881","12065.507"
53,25,"07",0,4,"1941.4156572995746","20476.752"
54,25,"08",0,4,"1991.3565575335854","20419.448"
55,25,"09",0,4,"1910.8860479421244","22662.356"
56,26,"01",0,8,"2227.9849643311873","5016.347"
57,26,"07",0,8,"2178.2881911466375","7264.796"
58,26,"08",0,8,"2070.491772356778","9598.047"
59,1,"01",1,28,"2182.5905342233805","5352.665027198471"
60,1,"03",1,28,"2183.0791265140783","5049.897665106999"
61,1,"04",1,16,"2109.980361277447","5945.127611683452"
62,1,"05",1,22,"2511.099129960907","6469.995134811549"
63,1,"06",1,22,"2253.5664925282204","6030.522576844065"
64,2,"01",1,28,"1225.0019511420014","3135.343758026744"
65,2,"03",1,28,"1168.4900508928304","2701.015128093357"
66,3,"07",1,7,"927.1738500659259","757.7720464173997"
67,3,"12",1,21,"1700.109457020833","1468.7783928755355"
68,3,"14",1,26,"2668.9687475538085","4312.582334150725"
69,4,"03",1,28,"1974.9581182418765","1058.5319162462201"
70,4,"05",1,23,"2511.2884698289104","1278.016796496236"
71,4,"09",1,24,"1460.4058292963207","2274.7385180997426"
72,4,"10",1,25,"998.5567464718356","2044.0580618036302"
73,6,"05",1,19,"2099.047405440191","2907.4848237694614"
74,6,"06",1,12,"2465.793646346039","2886.1828509009542"
75,6,"07",1,7,"992.8646343979213","1053.2340682903541"
76,6,"08",1,22,"2044.706861219379","2622.6816878300774"
77,6,"09",1,22,"2160.5202843735624","2754.8511770518544"
78,7,"01",1,28,"1438.0714229079153","1746.4779166666667"
79,7,"03",1,28,"1299.273165898408","5036.108077949341"
80,8,"01",1,27,"1295.0410250892462","1804.9286266056438"
81,8,"02",1,9,"1849.1910413379055","4494.268065513254"
82,8,"03",1,27,"1539.2406728002416","3531.1356731200817"
83,8,"04",1,27,"2327.6672516661106","7356.483271221382"
84,9,"01",1,22,"2623.220694506057","4750.457234381114"
85,9,"03",1,28,"2409.498642786016","4714.883561339752"
86,9,"06",1,25,"2053.7433287456374","7870.459035893946"
87,9,"07",1,23,"2046.2262314233838","8369.27987176189"
88,13,"01",1,26,"2305.8889484705073","336.51007900361924"
89,13,"02",1,26,"924.4743230342254","250.725600203758"
90,14,"02",1,14,"1002.4949906744597","130.04784090530194"
91,14,"04",1,28,"950.3480090600779","309.3209379533708"
92,15,"01",1,16,"2344.421706362786","5458.091511951838"
93,15,"03",1,13,"1988.8903044624783","8291.476172983352"
94,15,"05",1,15,"1828.8156097393219","7754.849713996144"
