"Id","StationID","BoilerID","PeriodType","PeriodValue","KPD","Production","Consumption"
86,1,"04А",1,17,"89.30043415525414","1376.9332172063464","505.6877647058823"
87,1,"04Б",1,17,"86.587677598041","1436.020363146041","566.2456470588235"
88,1,"05А",1,23,"88.92983923769232","946.9044347442718","555.7107826086956"
89,1,"05Б",1,23,"89.84711372676536","1067.9493639539955","579.2437826086956"
90,1,"06А",1,23,"90.82988751102485","1328.932459274453","520.6616521739131"
91,2,"01",1,28,"92.42975902842934","787.5783472059738","761.2886785714287"
92,2,"04",1,28,"92.32683515453651","856.5395891600446","951.4870357142856"
93,2,"05",1,6,"90.5641159533308","19786.3905586356","948.291"
94,3,"09",1,25,"87.87585552300632","2257.656242542366","509.3273199999999"
95,3,"10",1,20,"90.55650392099317","3512.203293899074","538.1863500000001"
96,3,"11",1,18,"91.08826308223536","4818.109349884853","503.1398888888889"
97,3,"12",1,28,"91.4990473989275","1925.6438205565594","557.4877499999999"
98,3,"13",1,26,"91.54073553058372","2354.770548210133","563.3766153846155"
99,4,"05",1,16,"88.11547190667261","10959.043278200754","323.79018749999994"
100,4,"06",1,24,"88.03828085469719","4077.298373703888","397.2264583333333"
101,4,"08",1,27,"87.00554146089777","3112.69721522777","424.37933333333336"
102,4,"09",1,28,"89.7466621757873","2985.5541177527875","425.13149999999996"
103,4,"10",1,14,"88.2591976601263","12341.813471813277","417.83085714285716"
104,4,"12",1,25,"89.33971086411701","4012.1995667243527","413.93699999999995"
105,4,"13",1,18,"90.27358042585928","7503.999627280014","435.90561111111106"
106,4,"14",1,28,"89.45140611638752","3298.054812932737","422.0628571428571"
107,6,"06",1,12,"89.9617013414047","22744.187162438884","336.33275000000003"
108,6,"10",1,10,"91.21199927498577","26758.56735415233","415.85389999999995"
109,6,"11",1,7,"88.104149504296","61581.309002162736","371.0595714285714"
110,6,"12",1,22,"91.84260699742033","5790.170781660258","408.0854545454545"
111,6,"13",1,22,"91.58105080568463","6816.999835001048","352.24136363636364"
112,6,"14",1,22,"92.03751598953313","7645.130132175044","318.09445454545454"
113,6,"15",1,19,"90.8745636087878","11123.310232349377","296.00842105263155"
114,6,"16",1,22,"92.4266908627867","8484.72309975518","292.4961818181818"
115,7,"01",1,28,"91.42208595250244","2240.8949002059016","741.7871785714286"
116,7,"04",1,26,"91.65400048443193","2575.9609885093746","812.2122307692306"
117,7,"05",1,28,"91.76589648999298","2288.8810897055405","861.5540357142855"
118,8,"02",1,23,"87.76417493323981","4373.274786702003","700.0561304347826"
119,8,"03",1,27,"86.36767610582447","2883.1475565352384","823.6924444444443"
120,8,"04",1,27,"92.02971764767518","3098.6258561167724","819.3489259259259"
121,8,"05",1,27,"89.99661312016401","2839.5589497888673","973.7508148148148"
122,9,"01",1,19,"88.9259624311527","14887.029979600733","378.4308421052631"
123,9,"02",1,23,"90.30056919738473","8910.042446587808","437.4687826086956"
124,9,"05",1,28,"89.92607314200562","7416.650403008947","358.547142857143"
125,9,"06",1,28,"91.52727311536269","5910.283511515106","457.9788928571428"
126,9,"11",1,25,"90.02554913285095","2962.356671012535","1293.9298"
127,9,"12",1,24,"89.68518065258655","3460.5520749471707","1350.9906666666664"
128,10,"01",1,28,"91.45064749540362","4460.134831510238","803.288107142857"
129,13,"02",1,21,"91.00497055894496","58818.76324897498","108.35209523809523"
130,13,"03",1,20,"92.44052421368792","57922.98623078231","121.39104999999999"
131,13,"04",1,17,"91.33969124862045","73202.96844118892","133.03717647058824"
132,14,"08",1,17,"88.9100570574793","29627.871868129805","330.0799411764706"
133,14,"10",1,21,"89.51088819610324","27489.08932923983","233.76219047619045"
134,15,"01А",1,8,"87.5237005181697","91721.6630420164","485.16925"
135,15,"01Б",1,20,"90.23178490901701","10122.039366704259","719.3871999999999"
136,15,"03А",1,14,"91.34326664943059","19985.505374975834","756.7193571428572"
137,15,"03Б",1,14,"92.38052373797294","21328.065924806877","720.4806428571428"
138,15,"05А",1,17,"89.74247367304108","14892.010723976733","712.6356470588233"
139,15,"05Б",1,16,"88.41863861654465","15757.839302435448","774.88225"
140,17,"08",1,19,"93.2001901019587","12383.638032599163","713.3075263157893"
141,17,"09",1,28,"90.82475038496423","7140.957736535857","580.6197857142859"
142,17,"10",1,24,"91.59403648953788","9441.33160647587","608.6287916666665"
143,18,"09",1,18,"88.81984497320983","17851.365234570607","579.1712222222221"
144,18,"11",1,26,"90.72618209613582","8200.311237669834","615.6122692307692"
145,18,"12",1,22,"89.9289024660767","11709.20387484423","611.3225000000001"
146,18,"13",1,26,"90.7696284223856","8331.661069816557","626.6869615384616"
147,18,"14",1,18,"89.50857412770547","22231.478408454903","494.49722222222226"
148,19,"06",1,7,"85.54990341096232","408941.6298859447","177.82999999999998"
149,19,"07",1,17,"89.38897336682312","58551.86863003096","210.86923529411766"
150,19,"08",1,15,"88.75171288096895","77366.82054378894","205.20919999999998"
151,19,"09",1,27,"89.7693609645797","7679.950293278457","651.4355185185185"
152,19,"11",1,23,"88.1921661667654","13933.695201220655","499.91030434782607"
153,19,"12",1,27,"89.56237147254194","8067.525578261643","639.1970370370369"
154,20,"01",1,21,"90.75615529691693","5937.957638295593","1559.492523809524"
155,20,"04",1,17,"89.5184036056041","9529.600651641122","1580.330764705882"
156,20,"06",1,16,"90.48153018900865","11599.879623575305","1547.6441874999998"
157,21,"01",1,16,"88.43373187534387","69297.72083222006","259.44975"
158,21,"04",1,28,"89.79867076758983","20200.070646882465","291.57778571428565"
159,22,"07M",1,6,"89.69960173391844","27457815.615228057","4.671499999999999"
160,22,"10M",1,8,"89.77165451357082","15107754.914867623","4.775874999999999"
161,22,"13M",1,6,"91.34551838235292","123022998.15989716","1.0426666666666666"
162,22,"14M",1,5,"88.87973991831011","14076062.423197042","13.122799999999998"
163,22,"16M",1,6,"88.0341915275534","138154777.86623278","0.9285"
164,24,"01А",1,18,"91.11509980360377","23015.353598284433","625.3231111111111"
165,24,"01Б",1,18,"91.77148421862474","23837.110340502964","609.3892222222223"
166,24,"02А",1,18,"90.2010726861641","23990.847473891787","611.1670555555555"
167,24,"02Б",1,20,"91.5415667638117","20606.965551720252","581.6560499999999"
168,24,"04А",1,28,"91.16782060985854","9334.370467241717","665.5278928571428"
169,24,"04Б",1,28,"91.3961597144614","9819.893946401264","641.7996071428571"
170,24,"05А",1,6,"88.26617828084899","444413.632024503","309.0498333333333"
171,24,"05Б",1,6,"86.63400648122558","404816.93955556065","339.5448333333334"
172,24,"06А",1,21,"91.39869443183676","20752.34671427098","545.0399523809524"
173,24,"06Б",1,21,"90.23082427281624","17766.72447557769","643.8619523809523"
174,24,"08А",1,23,"94.04716471724046","13833.274709278467","699.3436521739131"
175,24,"08Б",1,20,"92.47113148740424","19080.402187650652","678.0234999999999"
176,24,"09А",1,26,"89.52357169298881","13106.349429194757","590.5998076923076"
177,24,"09Б",1,28,"90.2613336516529","10160.042999779862","667.0445000000001"
178,24,"10А",1,13,"90.6286607092673","46604.5998248888","679.3663076923077"
179,24,"10Б",1,15,"87.84103666110529","40026.720519343515","598.0925333333332"
180,25,"01А",1,27,"89.30880849597058","7399.689444063593","1032.485962962963"
181,25,"01Б",1,27,"89.29624401719514","7812.224291796228","1008.588"
182,25,"02А",1,27,"90.95040836286307","7509.247013055853","1087.0386666666668"
183,25,"02Б",1,27,"89.4771550158847","7992.429081656171","1054.0764444444442"
184,25,"05А",1,20,"89.64118547923772","17253.51747691434","905.9606999999999"
185,25,"05Б",1,21,"88.7852928879891","14056.433090313501","1031.481761904762"
186,25,"06А",1,27,"89.03245916818085","8317.358380696616","1087.854851851852"
187,25,"06Б",1,24,"88.01179432461525","11405.595636235956","1028.362"
188,25,"07",1,27,"89.7709883706666","3532.163603918357","3422.2495925925928"
189,25,"08",1,20,"88.1244860304395","8785.287046623314","2838.7722000000003"
190,25,"09",1,13,"89.83703271227338","20570.966468332692","3113.717230769231"
191,26,"01А",1,31,"80.14298957401373","24475.697521000966","461.833"
192,26,"01Б",1,28,"80.75717928195886","33031.339471274136","420.6096071428571"
193,26,"07",1,10,"79.10315407338057","89673.08071079127","1224.4633"
194,26,"08",1,31,"82.3823196195664","8685.51121310275","1356.5302580645161"
195,1,"01А",2,264,"91.6291635729019","12.21030890444853","497.8458068181817"
196,1,"01Б",2,264,"86.83791527321667","23.72567885826945","526.5336212121215"
197,1,"02А",2,184,"89.81902152222966","65.91693138802648","549.183695652174"
198,1,"03А",2,272,"88.78494150865946","44.376999805055405","513.3930514705884"
199,1,"03Б",2,257,"89.96839726877207","68.41172908933439","447.30525291828786"
200,1,"04А",2,226,"90.08152145353618","96.1263386451776","479.8564292035396"
201,1,"04Б",2,222,"88.30468112070379","103.59172524201","543.0806081081079"
202,1,"05А",2,227,"89.05355299823322","122.73781965980646","494.4826960352425"
203,1,"05Б",2,203,"89.80666115568765","149.3165179809771","579.6528719211819"
204,1,"06А",2,161,"89.42289649451105","309.14947138503504","473.9491801242237"
205,2,"01",2,134,"92.53367268307191","340.02506204646556","690.3202388059699"
206,2,"04",2,221,"91.84732488617074","121.2043402521217","916.4825520361985"
207,2,"05",2,143,"91.90482310507113","313.30471502077955","988.5502797202795"
208,3,"09",2,25,"87.87585552300632","20031.48450026981","509.3273199999999"
209,3,"10",2,160,"90.07172546240987","474.9655168335133","551.1853812500001"
210,3,"11",2,231,"90.95834127431982","245.90897528694833","545.0627835497834"
211,3,"12",2,227,"90.71134062175057","268.5644840199483","549.369647577093"
212,3,"13",2,194,"91.0567998228492","388.8028778627782","545.7753402061855"
213,4,"05",2,161,"88.58596118282614","872.1673048864233","359.2009999999999"
214,4,"06",2,153,"87.7313671455493","968.3979753768874","363.9467908496733"
215,4,"08",2,161,"86.56103427886462","844.7825164893136","383.50342857142857"
216,4,"09",2,173,"88.64738871182124","750.4723438545045","380.99071676300576"
217,4,"10",2,130,"89.16009799551864","1284.8361454688618","400.2117076923076"
218,4,"12",2,223,"89.351943837997","474.99959067966404","376.41395067264557"
219,4,"13",2,174,"88.52848068098152","777.2718842000493","384.78505172413793"
220,4,"14",2,232,"87.67655138784778","457.3656225395553","376.25828448275854"
221,6,"06",2,119,"91.36844465487151","1745.0205318786047","379.54028571428574"
222,6,"10",2,181,"91.70670274595834","763.3146341267353","382.10151933701644"
223,6,"11",2,169,"91.26377905433736","880.4044043979483","386.74123668639055"
224,6,"12",2,146,"91.15769374716771","1184.6121777047601","391.03967123287674"
225,6,"13",2,143,"90.03115773974076","1559.4166389716972","312.57493706293684"
226,6,"14",2,225,"91.5962414065989","627.9069391305394","318.2845333333333"
227,6,"15",2,198,"91.6596089304973","820.4781779560655","318.7029393939394"
228,6,"16",2,152,"91.37694305886403","1512.4548406844197","295.9473618421053"
229,7,"01",2,219,"91.578296699855","355.2403933254461","642.44098173516"
230,7,"04",2,233,"91.93668195922447","315.4957396600029","681.1610858369097"
231,7,"05",2,193,"91.97872955336481","461.4100746947976","716.8291865284975"
232,8,"02",2,228,"88.39720672888438","359.4358323351297","697.6966622807016"
233,8,"03",2,254,"88.43223452053734","289.9083140442591","745.1283188976372"
234,8,"04",2,249,"92.02183320453952","309.29034075954723","779.9790923694778"
235,8,"05",2,248,"90.22117387594024","275.8276061216756","971.0637177419352"
236,9,"01",2,154,"89.21536407581593","1607.6554705672925","436.64966883116864"
237,9,"02",2,201,"90.36320289046175","890.3646480359888","470.200144278607"
238,9,"05",2,223,"89.68468433121359","808.5201143448858","426.8800538116591"
239,9,"06",2,222,"91.78899354171081","759.9102117074272","466.1946351351349"
240,9,"11",2,151,"90.80140789639876","653.5077743728664","1284.664410596027"
241,9,"12",2,236,"90.20327773134906","271.73784662812096","1496.902131355933"
242,10,"01",2,183,"91.1273191099102","867.2057140840952","807.0028142076503"
243,13,"02",2,40,"91.26466821463497","129910.87889549285","112.77147500000001"
244,13,"03",2,94,"92.33904354899401","18859.618466743563","140.73559574468086"
245,13,"04",2,148,"91.35611498915044","7491.981003037843","143.03476351351352"
246,14,"08",2,95,"89.1802771909427","8493.89098296925","306.9444105263159"
247,14,"10",2,104,"89.11273197897444","9740.191114418236","223.67049038461533"
248,15,"01А",2,171,"89.13803902015673","1133.187409775274","729.3508888888889"
249,15,"01Б",2,245,"90.29186427639742","558.607999244303","746.8349551020414"
250,15,"03А",2,122,"90.2538226818578","2203.853427436777","777.9838770491803"
251,15,"03Б",2,113,"89.64705977382366","2702.180295549406","751.6392831858409"
252,15,"05А",2,211,"91.1236795249798","804.8617669050274","744.5858815165884"
253,15,"05Б",2,215,"89.16619934458595","766.2812014513573","776.3713162790697"
254,17,"08",2,180,"90.98733084332326","1249.3503780916737","693.6295000000003"
255,17,"09",2,164,"90.45420994633638","1632.6009341030388","649.8261036585369"
256,17,"10",2,201,"91.5850845311749","1079.100423657255","668.122726368159"
257,18,"09",2,202,"89.67423275458668","1297.998400310434","557.6637772277229"
258,18,"11",2,190,"90.7993826722669","1458.8274739124092","568.3982789473681"
259,18,"12",2,177,"90.28546380901574","1665.1604171152392","581.2069604519774"
260,18,"13",2,210,"90.23071362208896","1202.8843387638597","580.1498095238097"
261,18,"14",2,210,"90.41851058669977","1255.0745785081629","563.9058904761907"
262,19,"06",2,142,"89.38642316605097","6757.581114304871","229.41402112676064"
263,19,"07",2,107,"88.80791857819398","12710.760349288154","215.02598130841122"
264,19,"08",2,164,"90.01918324830248","4956.004425651711","235.19290853658524"
265,19,"09",2,190,"90.44504562173653","1448.4189535105995","608.5821315789474"
266,19,"11",2,204,"88.95771185062208","1321.4186934338595","587.0946421568627"
267,19,"12",2,164,"90.00753552406275","1999.556763766887","607.7429878048782"
268,20,"01",2,170,"91.15582040424603","796.7513134431022","1533.1621470588236"
269,20,"04",2,222,"90.29417184387636","507.29805526740995","1548.901216216216"
270,20,"06",2,231,"90.3152393252179","509.3899148518398","1558.2760779220773"
271,21,"01",2,187,"89.98664386125465","4129.336089690633","294.04839572192503"
272,21,"04",2,147,"89.07775415879043","6886.19393633076","285.8579047619048"
273,22,"07M",2,41,"89.38631660002397","4968205.53720734","5.093292682926828"
274,22,"10M",2,44,"89.11770871050855","6660007.245961265","3.299045454545454"
275,22,"13M",2,28,"90.43529216231241","16889250.247663166","3.2125"
276,22,"14M",2,60,"89.84188325069788","1438309.882808061","8.215466666666666"
277,22,"15M",2,59,"89.66301608936308","1609227.9862960463","7.594237288135591"
278,22,"16M",2,42,"88.43093671145064","1973693.1007010997","12.219166666666663"
279,24,"01А",2,121,"90.93247559051682","4912.906595292829","595.4568264462811"
280,24,"01Б",2,115,"91.9124117080811","5287.772811341224","616.6045130434783"
281,24,"02А",2,259,"91.3216945543034","1032.1350375645447","632.4775830115822"
282,24,"02Б",2,264,"91.38554524666978","1001.3523961656143","637.2645037878789"
